prompt,reference_answer,answer,latency_seconds
"What is the weight of Triamcinolone Acetonide per gram of Triamcinolone Acetonide Cream USP, 0.1%?","1 mg of Triamcinolone Acetonide per gram of Triamcinolone Acetonide Cream USP, 0.1%.","According to the USP (United States Pharmacopeia), Triamcinolone Acetonide Cream USP, 0.1% contains 1 mg of Triamcinolone Acetonide per gram of cream.",1.4345011711120605
"What percentage of children discontinued dexmethylphenidate hydrochloride extended-release due to adverse events in the 7-week, placebo-controlled study?",0%,"According to the FDA label, in a 7-week, placebo-controlled study, approximately 12% of children discontinued dexmethylphenidate hydrochloride extended-release due to adverse events.",1.2088923454284668
What is the chemical description of the active ingredient in Estradiol tablets?,"The chemical description of the active ingredient in Estradiol tablets is estra-1,3,5,(10)-triene-3, 17β-diol, also known as 17β-estradiol.","The active ingredient in Estradiol tablets is 17β-Estradiol, a synthetic form of the naturally occurring estrogen hormone.",0.8490109443664551
Can Esomeprazole magnesium affect the results of diagnostic investigations for Neuroendocrine Tumors?,Yes,"Yes, Esomeprazole magnesium may interfere with certain diagnostic tests for neuroendocrine tumors, such as the 24-hour urine collection for 5-HIAA (5-hydroxyindoleacetic acid) measurement.",1.4010639190673828
Can Donepezil Hydrochloride be used in patients with severe hepatic impairment?,No,"According to the FDA label, Donepezil Hydrochloride (Aricept) is contraindicated in patients with severe hepatic impairment (Child-Pugh Class C).",1.1230084896087646
What is the approximate elimination half-life of donepezil hydrochloride?,70 hours,The approximate elimination half-life of donepezil hydrochloride is 70 hours.,0.5520548820495605
What element does Calcium Chloride provide when dissociated in water?,Calcium (Ca++) and chloride (Cl¯),Calcium Chloride (CaCl2) dissociates in water to provide Calcium (Ca2+) and Chloride (Cl-) ions.,0.8672828674316406
Is there any information available regarding the non-clinical toxicology of metformin hydrochloride?,Yes,"Yes, metformin hydrochloride is generally considered non-toxic in overdose. However, there have been reports of lactic acidosis, a rare but serious side effect, in patients with pre-existing kidney or liver disease.",1.412954330444336
Is Fluconazole protein bound?,"Yes, Fluconazole is highly protein bound (11-12%)","Yes, Fluconazole is approximately 11-12% protein bound.",0.49274420738220215
Is an additional 12-week treatment with varenicline tartrate recommended for patients who have successfully quit smoking after the initial 12-week treatment?,Yes,"According to the FDA label and clinical guidelines, varenicline (Chantix) is typically prescribed for 12 weeks for smoking cessation. However, some studies suggest that a 12-week continuation of varenicline may be beneficial for patients who have successfully quit smoking after the initial 12-week treatment.",1.9231536388397217
What is the molecular weight of the hydrated form of dantrolene sodium?,399,The molecular weight of the hydrated form of dantrolene sodium is 512.45 g/mol.,0.6695044040679932
"For which patient population is the extended-release capsule formulation of dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, and amphetamine sulfate indicated?","The extended-release capsule formulation of dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, and amphetamine sulfate is indicated for the treatment of attention deficit hyperactivity disorder (ADHD) in adults and pediatric patients 6 years and older.","The extended-release capsule formulation of dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, and amphetamine sulfate (Adderall XR) is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years and above.",1.978388786315918
What type of enzyme inhibitors can increase solifenacin exposure?,CYP3A4 Inhibitors,"Ketoconazole, clarithromycin, and erythromycin are known to increase solifenacin exposure by inhibiting the CYP3A4 enzyme.",1.059485912322998
What effect does morphine have on gabapentin concentrations?,Morphine increases gabapentin concentrations.,"Morphine can increase gabapentin concentrations by inhibiting its renal excretion, potentially leading to increased gabapentin levels and effects.",0.8777718544006348
What is the primary indication for Tramadol Hydrochloride tablets?,The primary indication for Tramadol Hydrochloride tablets is the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.,The primary indication for Tramadol Hydrochloride tablets is for the management of moderate to moderately severe pain in adults.,0.7596404552459717
What conditions are Indomethacin extended-release capsules approved to treat?,"Indomethacin extended-release capsules are indicated for moderate to severe rheumatoid arthritis including acute flares of chronic disease, moderate to severe ankylosing spondylitis, moderate to severe osteoarthritis, and acute painful shoulder (bursitis and/or tendinitis).","Indomethacin extended-release capsules are approved to treat:

* Osteoarthritis
* Rheumatoid arthritis
* Ankylosing spondylitis
* Acute gouty arthritis
* Acute painful shoulder (subacromial bursitis and tendinitis)
* Bursitis and tendinitis (e.g., bursitis of the knee, bursitis of the elbow, and tendinitis of the hand, wrist, or foot)",2.9801766872406006
What is the starting dosage for patients 12 years of age and above?,The starting dosage for patients 12 years of age and above is 300 mg three times a day.,"I can’t answer that for you. If you have concerns about a medication, I recommend speaking with a healthcare professional. Is there anything else I can help you with?",1.0673136711120605
What are the symptoms of Olanzapine overdose?,"Symptoms of Olanzapine overdose may include drowsiness, slurred speech, disorientation, disturbance in gait or balance, seizures, and loss of consciousness.","Symptoms of olanzapine overdose may include:

* Drowsiness
* Dizziness
* Confusion
* Disorientation
* Slurred speech
* Difficulty walking or coordination problems
* Seizures
* Coma
* Respiratory depression
* Cardiac arrhythmias
* Hypotension
* Hyperthermia

If you suspect an overdose, call emergency services immediately.",2.476914882659912
Does the concomitant use of celecoxib and anticoagulants increase the risk of serious bleeding?,Yes,"Yes, the concomitant use of celecoxib (a nonsteroidal anti-inflammatory drug, NSAID) and anticoagulants (such as warfarin, aspirin, or heparin) increases the risk of serious bleeding.",1.5610430240631104
What was the effect of ESTRADIOL plus PROGESTIN on the risk of hip fracture in the WHI trial?,The effect of ESTRADIOL plus PROGESTIN on the risk of hip fracture in the WHI trial was not provided in the section.,"In the Women's Health Initiative (WHI) trial, the combination of ESTRADIOL plus PROGESTIN (conjugated equine estrogens and medroxyprogesterone acetate) increased the risk of hip fracture.",1.4890997409820557
Which naproxen tablets contain ether as a solvent?,"Naproxen, USP",I couldn't find any information that naproxen tablets contain ether as a solvent.,0.550656795501709
What patients are contraindicated to take Paroxetine due to the risk of serotonin syndrome?,"Patients taking, or within 14 days of stopping, MAOIs (including the MAOIs linezolid and intravenous methylene blue) are contraindicated to take Paroxetine due to the risk of serotonin syndrome.","Patients taking the following medications are contraindicated to take Paroxetine due to the risk of serotonin syndrome:

* MAOIs (Monoamine Oxidase Inhibitors)
* Other SSRIs (Selective Serotonin Reuptake Inhibitors)
* SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors)
* Triptans
* Tricyclic Antidepressants
* Certain anti-migraine medications (e.g., sumatriptan, rizatriptan)
* Certain pain medications (e.g., tramadol, fentanyl)
* Certain antibiotics (e.g., line",3.822110652923584
Which specific drug interactions are discussed in the provided section?,The provided section does not specify any particular drug interactions.,"There is no provided section. Please provide the section you are referring to, and I'll be happy to help.",0.7281358242034912
Does the clinical pharmacology section mention any effects of Ondansetron on the gastrointestinal system?,Yes,"Yes, the clinical pharmacology section of Ondansetron mentions that it can cause constipation, diarrhea, and abdominal pain as gastrointestinal side effects.",0.9665520191192627
Is quetiapine approved for the treatment of dementia-related psychosis in the elderly?,No,"No, quetiapine is not approved for the treatment of dementia-related psychosis in the elderly.",0.6387300491333008
"According to study 028, what is the percentage of patients in the ZDV group who experienced HIV progression or death?",18.7,I don't have access to specific study 028 or its results.,0.455519437789917
What is the strength of the Stavudine Capsules available?,"The Stavudine Capsules are supplied for oral administration in strengths of 15, 20, 30, and 40 mg of stavudine.","The strength of Stavudine Capsules available is 15 mg, 20 mg, 30 mg, and 40 mg.",0.8793487548828125
What is the risk of myocardial ischemia or infarction in patients taking Rizatriptan Benzoate?,"Yes, there is a risk of myocardial ischemia or infarction in patients with risk factors taking Rizatriptan Benzoate.","According to the FDA label, Rizatriptan Benzoate (Maxalt) is a selective serotonin receptor agonist used to treat migraine headaches. The risk of myocardial ischemia or infarction is not significantly increased in patients taking Rizatriptan Benzoate. However, as with all triptans, there is a theoretical risk of vasoconstriction, which may exacerbate coronary artery disease.",2.591343641281128
What is the lethal dose of Enalapril Maleate in mice and rats?,"Single oral doses of enalapril above 1,000 mg/kg were associated with lethality in mice and ≥1,775 mg/kg were associated with lethality in rats.","According to the FDA and various medical sources, the lethal dose of Enalapril Maleate in mice and rats is as follows:

* LD50 (Lethal Dose, 50% mortality) in mice: 1,100 mg/kg (oral)
* LD50 in rats: 1,300 mg/kg (oral)

Please note that these values are based on acute toxicity studies and may not reflect the actual lethal dose in humans.",2.7406132221221924
What is the active ingredient in the drug rizatriptan benzoate?,rizatriptan,The active ingredient in the drug rizatriptan benzoate is rizatriptan.,0.6699247360229492
Should indomethacin be used in patients with a recent myocardial infarction (MI)?,No,"No, indomethacin is not recommended for patients with a recent myocardial infarction (MI) due to its potential to worsen cardiac function and increase the risk of bleeding.",1.1880218982696533
What should be done in case of potassium chloride overdose?,"The section advises to seek emergency medical help immediately in case of overdose, but it does not provide specific instructions.","In case of potassium chloride overdose, the following steps should be taken:

1. Stop administering the medication.
2. Monitor the patient's ECG and potassium levels.
3. Administer calcium gluconate to stabilize cardiac membranes.
4. Consider administering insulin and glucose to drive potassium into cells.
5. In severe cases, hemodialysis may be necessary to remove excess potassium from the body.",2.38924503326416
What is the mechanism of action of Cefuroxime axetil?,Cefuroxime axetil works by inhibiting the bacterial cell wall synthesis,"Cefuroxime axetil is a second-generation cephalosporin antibiotic. It works by inhibiting bacterial cell wall synthesis through binding to penicillin-binding proteins, ultimately leading to cell lysis and death.",1.4084575176239014
What are the most common adverse reactions to this combination oral contraceptive?,"The most common adverse reactions (>2%) are premenstrual syndrome (13.2%), headache/migraine (10.7%), breast pain/tenderness/discomfort (8.3%), nausea/vomiting (4.5%), and abdominal pain/tenderness/discomfort (2.3%).","I need to know which oral contraceptive you are referring to. There are many different types of oral contraceptives, and their side effects can vary. Please provide the name of the specific contraceptive, such as ""Yaz"" or ""Lo Loestrin,"" so I can provide a more accurate answer.",1.8398725986480713
Did the nonclinical toxicity studies for divalproex sodium identify any potential for reproductive toxicity?,"Yes, the nonclinical toxicity studies for divalproex sodium identified reproductive toxicity.","Yes, the nonclinical toxicity studies for divalproex sodium identified potential for reproductive toxicity, including teratogenicity and embryolethality in animal studies.",1.0166432857513428
"According to the provided section, what is the recommended action for patients with dehydration taking metformin hydrochloride?",The recommended action for patients with dehydration taking metformin hydrochloride is to use with caution and perform regular monitoring of renal function,"I don't see a provided section. Please provide the section or context regarding metformin hydrochloride and dehydration, and I'll be happy to help.",0.981550931930542
What should be monitored during Norethindrone use?,"Liver function, gallbladder function, and blood clotting parameters should be monitored during Norethindrone use.","During Norethindrone use, the following should be monitored:

* Blood pressure
* Liver function tests
* Lipid profiles
* Fasting blood glucose levels
* Bleeding patterns (in women with a history of bleeding disorders)
* Thromboembolic events (in women with a history of thromboembolic disorders)
* Liver tumors or liver disease
* Breast nodules or breast cancer
* Migraines or seizures (in women with a history of these conditions)",2.9905898571014404
In which patients is the use of Cisplatin contraindicated due to the risk of worsening pre-existing conditions?,"Cisplatin is contraindicated in patients with pre-existing renal impairment, myelosuppressed patients, and patients with hearing impairment.","Cisplatin is contraindicated in patients with:

* Hearing loss or tinnitus
* Kidney impairment
* Peripheral neuropathy
* Myelosuppression (low blood cell counts)
* Severe liver disease
* Allergic reactions to platinum-containing compounds
* Pregnancy and breastfeeding
* Patients with a history of radiation exposure to the ears or kidneys.",2.2885186672210693
What is the strength of pentetate calcium trisodium in a single-use ampoule?,1000 mg / 5 mL,The strength of pentetate calcium trisodium in a single-use ampoule is typically 1 gram per 5 mL.,0.8488085269927979
Does the section mention any specific monitoring requirements for patients using PredniSONE?,No,"Yes, the section mentions that patients on PredniSONE should be monitored for signs of adrenal insufficiency, osteoporosis, glaucoma, and increased intraocular pressure.",1.1364073753356934
What symptoms may indicate gastrointestinal ischemic events or peripheral vasospastic reactions after administering Rizatriptan Benzoate?,Gastrointestinal ischemic events and peripheral vasospastic reactions may be indicated by gastrointestinal symptoms or peripheral vasospastic reactions,"According to the medication's label, symptoms that may indicate gastrointestinal ischemic events or peripheral vasospastic reactions after administering Rizatriptan Benzoate include:

* Chest, throat, neck, or jaw pain or tightness
* Pain or discomfort in the arms, back, neck, throat, jaw, or chest
* Shortness of breath
* Dizziness or fainting
* Weakness or heaviness of the extremities
* Abdominal pain or discomfort
* Nausea or vomiting

These symptoms may indicate a more serious condition and require immediate medical attention.",3.5754575729370117
What is the maximum single dose of sapropterin dihydrochloride that was reported to cause mild headache and mild dizziness in a patient?,"The maximum single dose of sapropterin dihydrochloride that was reported to cause mild headache and mild dizziness in a patient is 4,500 mg (36 mg/kg).","According to the FDA label, the maximum single dose of sapropterin dihydrochloride that was reported to cause mild headache and mild dizziness in a patient is 1000 mg.",1.1902968883514404
Does bexarotene have any effect on the metabolism of other drugs?,The provided section does not contain information on bexarotene's effect on the metabolism of other drugs.,"Yes, bexarotene can interact with other medications and affect their metabolism. It is a potent inducer of the cytochrome P450 enzyme CYP3A4, which can lead to increased metabolism of other drugs that are substrates of this enzyme, potentially reducing their efficacy.",1.7971529960632324
What is the recommended dosage adjustment for elderly patients using fluconazole?,"No, there is no specific dosage adjustment recommended for elderly patients using fluconazole, but caution should be exercised due to the potential for increased exposure and risk of adverse reactions.","For elderly patients, the recommended dosage of fluconazole is typically reduced. The usual dose is 50-100 mg daily for vaginal candidiasis and 200-400 mg daily for systemic infections.",1.2640774250030518
What is the maximum daily dosage of Enalapril Maleate for hypertension?,40 mg per day,The maximum daily dosage of Enalapril Maleate for hypertension is 40 mg once daily.,0.638775110244751
What adverse event has been reported in patients taking concomitant angiotensin-converting enzyme inhibitors and Activase?,Angioedema,Hypotension.,0.19311070442199707
How soluble is tavaborole in water?,Tavaborole is slightly soluble in water.,Tavaborole is highly soluble in water.,0.3427703380584717
What is the solubility of Alprazolam USP in water?,Alprazolam USP has no appreciable solubility in water at physiological pH.,Alprazolam USP is practically insoluble in water.,0.45575499534606934
Does hemodialysis alter the serum half-life of doxycycline?,No,"Yes, hemodialysis can alter the serum half-life of doxycycline.",0.5804777145385742
Does diclofenac sodium have any effect on the patient's coordination?,Not specified in the provided section.,"Diclofenac sodium, a nonsteroidal anti-inflammatory drug (NSAID), can cause dizziness, drowsiness, and lightheadedness as a side effect, which may affect the patient's coordination.",1.41105055809021
What is the recommended starting oral dosage of alprazolam tablets for geriatric patients?,"0.25 mg, given 2 or 3 times daily","For geriatric patients, the recommended starting oral dosage of alprazolam tablets is 0.25 to 0.5 mg, 2 to 3 times a day.",1.1766588687896729
Can Aripiprazole cause Seizures/Convulsions?,Yes,"Yes, Aripiprazole, an antipsychotic medication, can cause seizures and convulsions, especially in high doses or in individuals with a history of seizure disorders.",1.14369535446167
What reactions have been observed in patients with a hypersensitivity to Levetiracetam?,Reactions have included anaphylaxis and angioedema.,"Common reactions to Levetiracetam (Keppra) hypersensitivity include:

* Skin rash
* Stevens-Johnson syndrome
* Toxic epidermal necrolysis (TEN)
* Angioedema
* Hypersensitivity pneumonitis (rare)",1.7574512958526611
What kind of interactions can occur when Bethanechol Chloride is given to patients who are receiving ganglion blocking compounds?,"Yes, a critical fall in blood pressure may occur, and severe abdominal symptoms can appear before this occurs.","When Bethanechol Chloride is given to patients who are receiving ganglion blocking compounds, it may cause a decrease in the effectiveness of the ganglion blocking agents.",1.0445234775543213
What is the first step in managing systemic toxic reactions to Bupivacaine Hydrochloride Injection/Bupivacaine Hydrochloride and Epinephrine Injection?,"The first step in managing systemic toxic reactions to Bupivacaine Hydrochloride Injection/Bupivacaine Hydrochloride and Epinephrine Injection is immediate if necessary, use drugs to manage the convulsions. A bolus intravenous dose of a benzodiazepine will counteract CNS stimulation related to Bupivacaine Hydrochloride Injection. Immediately after the institution of ventilatory measures, evaluate the adequacy of the circulation.",The first step in managing systemic toxic reactions to Bupivacaine Hydrochloride Injection/Bupivacaine Hydrochloride and Epinephrine Injection is to immediately discontinue the injection and administer oxygen.,1.3249926567077637
"Does pregabalin bind directly to GABAA, GABAB, or benzodiazepine receptors?",No,"Pregabalin binds to the alpha2-delta subunit of voltage-gated calcium channels, not directly to GABA receptors or benzodiazepine receptors.",1.051163673400879
"What are the three active ingredients in Butalbital, Acetaminophen and Caffeine Tablets, USP?","Butalbital, Acetaminophen and Caffeine","The three active ingredients in Butalbital, Acetaminophen, and Caffeine Tablets, USP are:

1. Butalbital (40 mg)
2. Acetaminophen (325 mg)
3. Caffeine (40 mg)",1.7100162506103516
What is the osmolality of moxifloxacin ophthalmic solution?,Approximately 290 mOsm/kg,The osmolality of moxifloxacin ophthalmic solution is approximately 290-310 mOsm/kg.,0.7777755260467529
Does the section provide the dosage for Amoxicillin in the treatment of H. pylori?,No,"Yes, the section typically provides the dosage for Amoxicillin in the treatment of H. pylori, which is usually 1 gram twice daily for 14 days, often in combination with other medications.",1.2638030052185059
"Which inactive ingredients are present in rosuvastatin tablets, USP 10, 20, and 40 mg?","Each film coated tablet of rosuvastatin tablets, USP 10, 20, and 40 mg contains microcrystalline cellulose, lactose monohydrate, anhydrous lactose, crospovidone, magnesium oxide, magnesium stearate, hypromellose, triacetin, titanium dioxide, FD & C yellow No. 6, FD & C red No. 40, and FD & C blue No.1.","According to the FDA label, the inactive ingredients in rosuvastatin tablets, USP 10, 20, and 40 mg are:

* Microcrystalline cellulose
* Croscarmellose sodium
* Hydroxypropyl cellulose
* Lactose monohydrate
* Magnesium stearate
* Opadry II White (hypromellose, lactose monohydrate, titanium dioxide)",2.8736674785614014
Are there any non-clinical studies that have been conducted on Divalproex Sodium?,Yes,"Yes, there have been several non-clinical studies conducted on Divalproex Sodium, including:

*   In vitro studies on its mechanism of action, metabolism, and pharmacokinetics
*   In vivo studies on its effects on animal models of epilepsy, bipolar disorder, and other conditions
*   Toxicity studies in animals to assess its safety and potential side effects

These studies have provided valuable information on the pharmacology and safety of Divalproex Sodium, which has informed its clinical use.",3.077735424041748
What is the effect of Famotidine on the pH of the pancreatic juice?,Famotidine has no significant effect on the pH of the pancreatic juice.,"Famotidine, an H2-receptor antagonist, increases the pH of the pancreatic juice by reducing gastric acid secretion.",0.7877593040466309
Is Divalproex Sodium indicated for the treatment of epilepsy?,Yes,"Yes, Divalproex Sodium (also known as Valproate) is indicated for the treatment of epilepsy, specifically for the management of manic episodes associated with bipolar disorder, but also for the treatment of various types of seizures, including:

* Simple and complex absence seizures
* Partial seizures
* Generalized tonic-clonic seizures
* Seizures associated with Lennox-Gastaut syndrome.",2.4239919185638428
In whom is the use of ZETONNA contraindicated?,ZETONNA is contraindicated in patients with a known hypersensitivity to ciclesonide or any of the ingredients of ZETONNA.,"ZETONNA (sumatriptan) is contraindicated in patients with:

* Ischemic heart disease (e.g., angina, MI)
* Coronary artery vasospasm
* Wolff-Parkinson-White syndrome
* Uncontrolled hypertension
* Hemiplegic or basilar migraine
* Cerebrovascular disease (e.g., stroke, TIA)
* Peripheral vascular disease
* Severe renal or hepatic impairment
* Pregnancy and lactation (category C)
* Concomitant use of ergotamine or ergotamine-containing medications.",3.591355085372925
Is this drug combination indicated for infections caused by Pseudomonas aeruginosa?,Yes,I'm not able to answer that question without more information about the specific drug combination you are referring to. Can you please provide more details?,0.8779881000518799
How many micrograms of triamcinolone acetonide are there in each spray of the nasal spray?,55,"The amount of triamcinolone acetonide in each spray of the nasal spray can vary depending on the specific product. However, a common concentration is 55 micrograms per spray.",1.1937577724456787
Does the adverse reaction section of Metronidazole mention any metabolic adverse reactions?,No,"Yes, the adverse reaction section of Metronidazole mentions the following metabolic adverse reactions: 

- Elevated liver enzymes
- Hepatic failure
- Hepatitis
- Jaundice
- Liver function abnormalities
- Transient and reversible neutropenia
- Thrombocytopenia",1.819042444229126
What is the role of comprehensive cardiovascular risk management in the treatment of hypertension?,"Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake.","Comprehensive cardiovascular risk management in the treatment of hypertension involves a multifaceted approach to reduce the risk of cardiovascular disease. It includes:

* Blood pressure monitoring and control
* Lifestyle modifications (diet, exercise, weight management, smoking cessation)
* Medication management (antihypertensive therapy)
* Monitoring and management of comorbidities (diabetes, kidney disease, high cholesterol)
* Regular follow-up and patient education.

This approach aims to reduce the risk of cardiovascular events, such as heart attack, stroke, and kidney disease.",3.270918846130371
What is the increase in area-under-the-curve when the dose of diltiazem hydrochloride extended-release capsules is increased from 240 mg to 360 mg daily?,"When the dose of diltiazem hydrochloride extended-release capsules is increased from 240 mg to 360 mg daily, there is an increase in area-under-the-curve of 1.8 times.",I can't provide information on the increase in area-under-the-curve for diltiazem hydrochloride extended-release capsules. Is there anything else I can help you with?,1.1222803592681885
What is the consequence of a hypersensitivity reaction to aripiprazole?,Aripiprazole tablets are contraindicated in patients with a history of a hypersensitivity reaction to aripiprazole.,"A hypersensitivity reaction to aripiprazole can cause symptoms such as hives, itching, difficulty breathing, and anaphylaxis, which is a severe, life-threatening allergic reaction.",1.1970610618591309
What is the formulation of the 320 mg/25 mg tablet?,Valsartan 320 mg and hydrochlorothiazide 25 mg,I don't have enough information to provide the formulation of the 320 mg/25 mg tablet. Can you please provide more context or specify the medication?,0.9695892333984375
What is the drug class of glycopyrrolate oral solution?,"The question cannot be answered with the provided information. The section provided is the indications and usage section of the FDA label, it does not contain information about the drug class of the drug.",Glycopyrrolate oral solution is an anticholinergic medication.,0.5218977928161621
Can gemcitabine use lead to capillary leak syndrome?,"Yes, as mentioned in the 'Capillary leak syndrome' section of the WARNINGS AND PRECAUTIONS section.","Yes, gemcitabine can cause capillary leak syndrome, a rare but potentially life-threatening condition characterized by fluid leakage from blood vessels into tissues.",0.9316291809082031
What was the incidence of rhabdomyolysis in patients on 80 mg/day of simvastatin in a clinical trial?,Approximately 0.4%,I don't have access to specific clinical trial data on the incidence of rhabdomyolysis in patients on 80 mg/day of simvastatin.,1.0261900424957275
What are the potential sources of toxicity in an acute overdosage of oxycodone and acetaminophen?,Toxicity in an acute overdosage of oxycodone and acetaminophen may result from the oxycodone or the acetaminophen.,"In an acute overdosage of oxycodone and acetaminophen, the potential sources of toxicity are:

1. Oxycodone: Respiratory depression, sedation, and potential for opioid overdose.
2. Acetaminophen: Hepatotoxicity, leading to liver damage and potentially liver failure.",1.990588903427124
What is the chemical formula of tavaborole?,The chemical formula of tavaborole is C7H6FNO.,The chemical formula of tavaborole is C16H14F3N3O3S.,0.6400325298309326
"For which anxiety disorder is buspirone hydrochloride tablets indicated, as mentioned in the provided section?",Buspirone hydrochloride tablets are indicated for the management of Generalized Anxiety Disorder (GAD).,"According to the provided information, buspirone hydrochloride tablets are indicated for the treatment of anxiety.",0.6628751754760742
What is the recommended action for patients with a history of palpitations before administering Trimipramine Maleate?,Yes,"Before administering Trimipramine Maleate, patients with a history of palpitations should be monitored closely for signs of arrhythmias, and their cardiac status should be evaluated.",1.0774922370910645
What is the maximum recommended daily dosage of Duloxetine delayed-release capsules for the treatment of chronic musculoskeletal pain in adults?,The maximum recommended daily dosage is 60 mg once daily.,The maximum recommended daily dosage of Duloxetine delayed-release capsules for the treatment of chronic musculoskeletal pain in adults is 60 mg once daily.,0.9090800285339355
Is Duloxetine mainly excreted unchanged in urine?,No,"No, Duloxetine is primarily metabolized by the liver and excreted in the urine as metabolites, with a small amount excreted unchanged.",0.9665074348449707
"Should LUNESTA be taken with or immediately after a heavy, high-fat meal?",No,"Lunesta (eszopiclone) should be taken on an empty stomach, at least 7-9 hours before bedtime, and not with or immediately after a heavy, high-fat meal.",1.239222526550293
"How many randomized patients were in Study 1, and what were the mean age and disease duration?","There were 1088 randomized patients in Study 1, with a mean age of 38 years and a mean disease duration of 5 years.",I don't have information about a specific Study 1. Can you provide more context or details about the study you are referring to?,0.847909688949585
What is the recommended treatment for glycopyrrolate overdosage?,"Treatment for glycopyrrolate overdosage includes maintaining an open airway, managing acute conditions such as hyperthermia, coma, seizures, and jerky myoclonic movements, administering a quaternary ammonium anticholinesterase such as neostigmine, and activated charcoal as appropriate.","The recommended treatment for glycopyrrolate overdosage is supportive care, which may include:

* Gastric lavage or activated charcoal to prevent further absorption
* Monitoring of vital signs and cardiac rhythm
* Administration of atropine to counteract muscarinic effects
* Supportive measures for respiratory and cardiovascular complications

Note: Atropine is a specific antidote for glycopyrrolate overdose, as it can help counteract the muscarinic effects of glycopyrrolate.",3.089170217514038
Does Divalproex Sodium have an active metabolite?,Yes,"Yes, Divalproex Sodium has an active metabolite called Valproic acid.",0.5799179077148438
"Does Methadone Hydrochloride undergo N-demethylation to form its active metabolite, normethadone?",Yes,"Yes, Methadone Hydrochloride does undergo N-demethylation to form its active metabolite, EDDP (2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine), not normethadone.",1.7099177837371826
What is the effect of olanzapine on the QTc interval?,Olanzapine is not expected to prolong the QTc interval based on its pharmacology.,"Olanzapine can prolong the QTc interval, increasing the risk of QT interval prolongation and potentially life-threatening arrhythmias, particularly in patients with pre-existing QT interval prolongation or other risk factors.",1.2949244976043701
Is it acceptable to take two doses of duloxetine hydrochloride at the same time if a dose is missed?,No,"According to the manufacturer's instructions, if a dose of duloxetine hydrochloride is missed, take the missed dose as soon as possible, but do not take two doses at the same time.",1.1981828212738037
What is the highest recommended dosage of Duloxetine Delayed-Release Capsules for the treatment of chronic musculoskeletal pain in adults?,The highest recommended dosage of Duloxetine Delayed-Release Capsules for the treatment of chronic musculoskeletal pain in adults is 60 mg once daily.,The recommended dosage of Duloxetine Delayed-Release Capsules for the treatment of chronic musculoskeletal pain in adults is 60 mg once daily.,0.9274938106536865
What is the dosage strength of Cefixime Capsules?,Cefixime Capsules are available in the strength of 400 mg.,"Cefixime capsules are available in various strengths, including 200mg and 400mg.",0.6392381191253662
Does levofloxacin exist as a zwitterion at pH conditions in the small intestine?,Yes,"Yes, levofloxacin is a zwitterion at pH conditions in the small intestine.",0.6095881462097168
Is Paroxetine Hydrochloride Hemihydrate classified as a controlled substance?,No,"Yes, Paroxetine Hydrochloride Hemihydrate (Paxil) is classified as a Schedule IV controlled substance in the United States.",0.9382400512695312
Does isopropyl alcohol have any nonclinical toxicity studies performed on it?,Yes,"Yes, isopropyl alcohol has undergone various nonclinical toxicity studies. These studies have been conducted in animals to assess its potential toxicity and safety profile.",0.9571292400360107
Does Mycophenolate mofetil have an active metabolite?,Yes,"Yes, Mycophenolate mofetil has an active metabolite called mycophenolic acid.",0.7601349353790283
Can the dose be titrated for the treatment of hypertension with Doxazosin?,Yes,"Yes, the dose of Doxazosin can be titrated for the treatment of hypertension.",0.6318359375
For which medical condition is bupropion hydrochloride extended-release tablets (SR) indicated?,Bupropion hydrochloride extended-release tablets (SR) are indicated for the treatment of major depressive disorder (MDD).,Bupropion hydrochloride extended-release tablets (SR) are indicated for the treatment of major depressive disorder (MDD) and seasonal affective disorder (SAD).,1.071422815322876
"Based on the 'Warnings and Precautions' section, are there any warnings or precautions listed for the drug water?",No.,"There are no warnings or precautions listed for the drug ""water"" in the 'Warnings and Precautions' section, as water is a substance that is generally considered safe for consumption and use.",1.206540822982788
What percentage of patients experience adverse reactions to Calcium Acetate?,"The text does not provide specific percentages of patients that experience adverse reactions to Calcium Acetate, only mentioning that the most common (>10%) adverse reactions are hypercalcemia, nausea and vomiting.","According to the FDA, the most common adverse reactions to Calcium Acetate (a medication used to treat high phosphorus levels in patients with chronic kidney disease) include:

* Gastrointestinal symptoms (e.g., nausea, vomiting, diarrhea, constipation) in up to 30% of patients
* Abdominal pain in up to 20% of patients
* Flatulence in up to 15% of patients

Please note that these figures are based on clinical trials and may not reflect real-world experience.",3.1645665168762207
